CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NPOPCHG2017,NPOPCHG2018,NPOPCHG2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019
10180,,,"Abilene, TX",Metropolitan Statistical Area,165252,165252,165585,166634,167442,167473,168342,169688,170017,170429,171150,172060,333,1049,808,31,869,1346,329,412,721,910,539,2290,2358,2392,2381,2411,2384,2405,2360,2361,409,1501,1590,1692,1596,1701,1725,1709,1774,1752,130,789,768,700,785,710,659,696,586,609,84,199,510,358,416,494,384,314,188,220,124,64,-461,-1050,-310,159,-710,-593,-49,90,208,263,49,-692,106,653,-326,-279,139,310,-5,-3,-9,23,-22,-17,-4,-5,-4,-9
10420,,,"Akron, OH",Metropolitan Statistical Area,703200,703196,703031,703200,702109,703621,704908,704382,703524,703987,703855,703479,-165,169,-1091,1512,1287,-526,-858,463,-132,-376,1980,7570,7497,7544,7708,7562,7449,7399,7254,7196,1606,6657,7007,6988,6849,7463,7296,7528,7262,7196,374,913,490,556,859,99,153,-129,-8,0,221,1129,1203,1821,1635,1922,1881,1500,938,836,-727,-1861,-2736,-778,-1092,-2499,-2875,-881,-1044,-1190,-506,-732,-1533,1043,543,-577,-994,619,-106,-354,-33,-12,-48,-87,-115,-48,-17,-27,-18,-22
10500,,,"Albany, GA",Metropolitan Statistical Area,153857,154033,154145,154545,153976,152667,151949,150387,149137,148090,147840,146726,112,400,-569,-1309,-718,-1562,-1250,-1047,-250,-1114,540,2299,2146,2181,2034,1995,1910,1870,1898,1891,409,1214,1377,1434,1389,1414,1499,1478,1586,1541,131,1085,769,747,645,581,411,392,312,350,18,42,113,134,85,103,144,92,83,51,-40,-725,-1480,-2237,-1467,-2268,-1812,-1532,-641,-1516,-22,-683,-1367,-2103,-1382,-2165,-1668,-1440,-558,-1465,3,-2,29,47,19,22,7,1,-4,1
10540,,,"Albany-Lebanon, OR",Metropolitan Statistical Area,116672,116681,116891,118164,118273,118405,119042,120236,122769,125035,127451,129749,210,1273,109,132,637,1194,2533,2266,2416,2298,386,1452,1446,1378,1450,1474,1519,1517,1508,1512,260,1129,1125,1140,1219,1299,1328,1293,1322,1310,126,323,321,238,231,175,191,224,186,202,20,57,-27,-43,-3,7,79,72,21,21,74,892,-158,-43,420,1012,2254,1964,2198,2066,94,949,-185,-86,417,1019,2333,2036,2219,2087,-10,1,-27,-20,-11,0,9,6,11,9
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,870716,870713,871082,872778,874698,877065,878113,879085,879792,882158,882263,880381,369,1696,1920,2367,1048,972,707,2366,105,-1882,2379,9106,9115,9199,9170,9091,9017,8954,8766,8704,1796,7634,7650,7765,7521,7917,7705,8052,8225,8235,583,1472,1465,1434,1649,1174,1312,902,541,469,442,1760,2055,1769,2042,2173,2221,1652,1251,1033,-618,-1515,-1478,-759,-2553,-2321,-2800,-163,-1674,-3375,-176,245,577,1010,-511,-148,-579,1489,-423,-2342,-38,-21,-122,-77,-90,-54,-26,-25,-13,-9
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,887077,887063,889558,898016,901939,904953,904538,906026,909237,912311,914947,918018,2495,8458,3923,3014,-415,1488,3211,3074,2636,3071,2761,11173,11024,10727,10467,10391,10130,9838,9651,9520,1426,6714,6614,6827,7020,7339,7495,7714,8003,7943,1335,4459,4410,3900,3447,3052,2635,2124,1648,1577,191,1831,1593,2203,686,1359,1071,836,750,753,973,2178,-1928,-3026,-4472,-2875,-455,155,273,788,1164,4009,-335,-823,-3786,-1516,616,991,1023,1541,-4,-10,-152,-63,-76,-48,-40,-41,-35,-47
10780,,,"Alexandria, LA",Metropolitan Statistical Area,153922,153918,154096,154402,154400,154623,154558,154082,154124,153549,152762,152037,178,306,-2,223,-65,-476,42,-575,-787,-725,501,2037,2026,2010,2145,2122,2078,2060,1914,1875,371,1477,1586,1729,1561,1695,1625,1691,1783,1625,130,560,440,281,584,427,453,369,131,250,21,116,80,154,89,42,93,23,24,15,39,-365,-507,-192,-727,-938,-501,-964,-945,-991,60,-249,-427,-38,-638,-896,-408,-941,-921,-976,-12,-5,-15,-20,-11,-7,-3,-3,3,1
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,821173,821273,821923,824930,826144,825731,828470,830295,833163,837921,842626,844052,650,3007,1214,-413,2739,1825,2868,4758,4705,1426,2145,8613,8566,8500,8581,8332,8481,8537,8656,8556,1955,7881,7667,8141,7791,8411,8103,8314,8194,8103,190,732,899,359,790,-79,378,223,462,453,452,2222,2161,2521,2837,2826,3236,3061,3594,1200,116,76,-1752,-3263,-767,-840,-706,1522,680,-192,568,2298,409,-742,2070,1986,2530,4583,4274,1008,-108,-23,-94,-30,-121,-82,-40,-48,-31,-35
11020,,,"Altoona, PA",Metropolitan Statistical Area,127089,127117,127045,126970,126544,125836,125274,124596,123708,123147,122503,121829,-72,-75,-426,-708,-562,-678,-888,-561,-644,-674,339,1339,1319,1319,1302,1330,1298,1241,1176,1146,394,1599,1500,1697,1556,1633,1641,1660,1554,1619,-55,-260,-181,-378,-254,-303,-343,-419,-378,-473,9,17,21,16,23,36,45,36,33,30,-9,175,-245,-335,-312,-401,-585,-171,-295,-225,0,192,-224,-319,-289,-365,-540,-135,-262,-195,-17,-7,-21,-11,-19,-10,-5,-7,-4,-6
11100,,,"Amarillo, TX",Metropolitan Statistical Area,251933,251935,252664,255975,257802,258896,260812,261618,262987,264331,264406,265053,729,3311,1827,1094,1916,806,1369,1344,75,647,938,3786,3702,3885,3953,3849,3673,3508,3327,3314,607,2150,2196,2351,2313,2397,2415,2273,2409,2324,331,1636,1506,1534,1640,1452,1258,1235,918,990,119,576,759,711,908,828,747,701,495,482,275,1097,-447,-1205,-656,-1489,-644,-591,-1345,-824,394,1673,312,-494,252,-661,103,110,-850,-342,4,2,9,54,24,15,8,-1,7,-1
